Date,Open,High,Low,Close,Adj Close,Volume
2018-06-28,21.850000,22.500000,21.850000,22.500000,22.500000,8000
2018-06-29,23.600000,23.600000,23.600000,23.600000,23.600000,4000
2018-07-02,22.450001,22.850000,22.450001,22.850000,22.850000,12000
2018-07-03,23.500000,23.500000,21.750000,21.750000,21.750000,32000
2018-07-04,21.000000,21.000000,21.000000,21.000000,21.000000,4000
2018-07-05,20.500000,20.950001,20.250000,20.950001,20.950001,24000
2018-07-06,20.900000,21.000000,20.900000,21.000000,21.000000,8000
2018-07-09,20.549999,21.900000,20.549999,21.500000,21.500000,32000
2018-07-10,22.450001,22.549999,22.450001,22.549999,22.549999,8000
2018-07-11,21.600000,21.600000,21.450001,21.450001,21.450001,16000
2018-07-12,20.400000,20.400000,20.400000,20.400000,20.400000,24000
2018-07-13,19.600000,19.600000,19.400000,19.400000,19.400000,12000
2018-07-16,18.450001,18.500000,18.450001,18.450001,18.450001,20000
2018-07-17,17.549999,17.549999,17.549999,17.549999,17.549999,20000
2018-07-18,18.350000,18.400000,17.100000,17.100000,17.100000,12000
2018-07-19,17.900000,17.950001,17.900000,17.950001,17.950001,8000
2018-07-20,17.200001,17.200001,17.100000,17.100000,17.100000,20000
2018-07-23,17.000000,17.000000,16.299999,16.299999,16.299999,36000
2018-07-24,17.100000,17.100000,17.100000,17.100000,17.100000,4000
2018-07-25,17.100000,17.100000,17.100000,17.100000,17.100000,0
2018-07-26,17.950001,17.950001,17.950001,17.950001,17.950001,8000
2018-07-27,18.799999,18.799999,18.799999,18.799999,18.799999,12000
2018-07-30,18.799999,18.799999,18.799999,18.799999,18.799999,0
2018-07-31,20.600000,20.650000,19.000000,20.650000,20.650000,16000
2018-08-01,20.650000,20.650000,20.600000,20.600000,20.600000,12000
2018-08-02,19.950001,19.950001,19.950001,19.950001,19.950001,4000
2018-08-03,20.000000,20.100000,19.000000,19.000000,19.000000,28000
2018-08-06,19.799999,19.950001,19.799999,19.950001,19.950001,12000
2018-08-07,19.950001,19.950001,19.950001,19.950001,19.950001,0
2018-08-08,19.000000,20.500000,19.000000,20.500000,20.500000,8000
2018-08-09,20.950001,20.950001,20.950001,20.950001,20.950001,4000
2018-08-10,20.950001,20.950001,20.950001,20.950001,20.950001,0
2018-08-13,20.950001,20.950001,20.950001,20.950001,20.950001,0
2018-08-14,20.950001,20.950001,20.950001,20.950001,20.950001,0
2018-08-16,20.950001,20.950001,20.950001,20.950001,20.950001,0
2018-08-17,20.950001,20.950001,20.950001,20.950001,20.950001,0
2018-08-20,20.950001,20.950001,20.950001,20.950001,20.950001,0
2018-08-21,19.049999,19.049999,19.000000,19.049999,19.049999,8000
2018-08-23,19.049999,19.049999,19.049999,19.049999,19.049999,0
2018-08-24,19.049999,19.049999,19.049999,19.049999,19.049999,0
2018-08-27,18.600000,18.600000,17.700001,17.700001,17.700001,12000
2018-08-28,17.700001,17.700001,17.700001,17.700001,17.700001,0
2018-08-29,17.250000,17.250000,16.400000,16.450001,16.450001,36000
2018-08-30,16.000000,16.000000,14.900000,15.050000,15.050000,36000
2018-08-31,16.299999,16.549999,16.299999,16.549999,16.549999,12000
2018-09-03,16.600000,16.600000,14.950000,15.000000,15.000000,56000
2018-09-04,16.000000,16.500000,16.000000,16.500000,16.500000,12000
2018-09-05,15.750000,16.250000,15.100000,15.850000,15.850000,28000
2018-09-06,16.299999,17.200001,16.000000,17.200001,17.200001,20000
2018-09-07,17.400000,17.400000,16.850000,16.850000,16.850000,8000
2018-09-10,16.850000,16.850000,16.850000,16.850000,16.850000,4000
2018-09-11,16.850000,16.850000,16.850000,16.850000,16.850000,0
2018-09-12,16.850000,16.850000,16.850000,16.850000,16.850000,0
2018-09-14,16.000000,16.000000,15.950000,16.000000,16.000000,12000
2018-09-17,15.300000,15.300000,15.300000,15.300000,15.300000,4000
2018-09-18,14.600000,14.600000,14.050000,14.100000,14.100000,20000
2018-09-19,13.800000,14.100000,13.500000,14.000000,14.000000,44000
2018-09-21,13.650000,13.650000,12.600000,12.900000,12.900000,64000
2018-09-24,12.500000,12.500000,12.300000,12.300000,12.300000,24000
2018-09-25,12.250000,12.250000,11.700000,11.700000,11.700000,28000
2018-09-26,11.200000,11.200000,11.150000,11.150000,11.150000,16000
2018-09-27,11.150000,11.150000,11.150000,11.150000,11.150000,0
2018-09-28,11.000000,11.000000,10.600000,10.600000,10.600000,12000
2018-10-01,10.950000,10.950000,10.950000,10.950000,10.950000,4000
2018-10-03,10.410000,10.410000,10.410000,10.410000,10.410000,28000
2018-10-04,9.900000,9.900000,9.890000,9.890000,9.890000,68000
2018-10-05,9.890000,9.890000,9.890000,9.890000,9.890000,0
2018-10-08,9.400000,9.400000,9.400000,9.400000,9.400000,8000
2018-10-09,8.930000,8.950000,8.930000,8.930000,8.930000,28000
2018-10-10,8.490000,9.290000,8.490000,8.490000,8.490000,72000
2018-10-11,8.080000,8.300000,8.080000,8.300000,8.300000,8000
2018-10-12,8.660000,8.710000,8.660000,8.710000,8.710000,16000
2018-10-15,8.710000,8.710000,8.710000,8.710000,8.710000,0
2018-10-16,9.590000,9.590000,9.500000,9.550000,9.550000,16000
2018-10-17,9.120000,9.120000,9.120000,9.120000,9.120000,4000
2018-10-19,9.120000,9.120000,9.120000,9.120000,9.120000,0
2018-10-22,9.120000,9.120000,9.120000,9.120000,9.120000,0
2018-10-23,9.500000,9.500000,8.670000,8.670000,8.670000,12000
2018-10-24,8.670000,8.670000,8.670000,8.670000,8.670000,0
2018-10-25,8.670000,8.670000,8.670000,8.670000,8.670000,0
2018-10-26,8.400000,9.100000,8.400000,9.100000,9.100000,8000
2018-10-29,9.100000,9.100000,9.100000,9.100000,9.100000,0
2018-10-30,9.100000,9.100000,9.100000,9.100000,9.100000,0
2018-10-31,8.720000,9.550000,8.720000,9.550000,9.550000,8000
2018-11-01,9.550000,9.550000,9.550000,9.550000,9.550000,0
2018-11-02,9.550000,9.550000,9.550000,9.550000,9.550000,0
2018-11-05,9.550000,9.550000,9.550000,9.550000,9.550000,0
2018-11-06,10.000000,10.020000,10.000000,10.020000,10.020000,8000
2018-11-07,10.520000,10.520000,10.520000,10.520000,10.520000,4000
2018-11-09,10.520000,10.520000,10.520000,10.520000,10.520000,0
2018-11-12,11.590000,11.590000,11.000000,11.000000,11.000000,20000
2018-11-13,11.000000,11.000000,11.000000,11.000000,11.000000,0
2018-11-14,11.000000,11.000000,11.000000,11.000000,11.000000,4000
2018-11-15,10.520000,10.520000,10.520000,10.520000,10.520000,4000
2018-11-16,10.520000,10.520000,10.520000,10.520000,10.520000,0
2018-11-19,9.500000,9.500000,9.500000,9.500000,9.500000,12000
2018-11-20,9.500000,9.500000,9.500000,9.500000,9.500000,0
2018-11-21,9.500000,9.500000,9.500000,9.500000,9.500000,0
2018-11-22,9.030000,9.030000,9.030000,9.030000,9.030000,8000
2018-11-26,8.580000,8.580000,8.580000,8.580000,8.580000,24000
2018-11-27,8.580000,8.580000,8.580000,8.580000,8.580000,0
2018-11-28,8.250000,8.250000,8.200000,8.200000,8.200000,20000
2018-11-29,8.000000,8.000000,8.000000,8.000000,8.000000,4000
2018-11-30,8.000000,8.000000,8.000000,8.000000,8.000000,0
2018-12-03,8.000000,8.000000,8.000000,8.000000,8.000000,0
2018-12-04,7.980000,8.030000,7.980000,8.030000,8.030000,8000
2018-12-05,8.380000,8.380000,8.380000,8.380000,8.380000,4000
2018-12-06,8.790000,8.790000,8.380000,8.380000,8.380000,20000
2018-12-07,8.300000,8.300000,8.300000,8.300000,8.300000,8000
2018-12-10,8.300000,8.300000,8.300000,8.300000,8.300000,0
2018-12-11,7.560000,7.560000,7.550000,7.560000,7.560000,8000
2018-12-12,7.560000,7.560000,7.560000,7.560000,7.560000,0
2018-12-13,7.220000,7.880000,7.220000,7.880000,7.880000,8000
2018-12-14,8.230000,8.270000,7.530000,7.530000,7.530000,20000
2018-12-17,7.530000,7.530000,7.530000,7.530000,7.530000,0
2018-12-18,7.900000,7.900000,7.900000,7.900000,7.900000,4000
2018-12-19,7.900000,7.900000,7.900000,7.900000,7.900000,0
2018-12-20,7.900000,7.900000,7.900000,7.900000,7.900000,0
2018-12-21,8.000000,8.000000,7.900000,8.000000,8.000000,12000
2018-12-24,8.390000,8.400000,8.390000,8.400000,8.400000,8000
2018-12-26,8.400000,8.400000,8.400000,8.400000,8.400000,0
2018-12-27,8.400000,8.400000,8.400000,8.400000,8.400000,0
2018-12-28,8.400000,8.400000,8.400000,8.400000,8.400000,0
2018-12-31,8.400000,8.400000,8.400000,8.400000,8.400000,0
2019-01-01,8.000000,8.000000,8.000000,8.000000,8.000000,8000
2019-01-02,8.000000,8.000000,8.000000,8.000000,8.000000,0
2019-01-03,8.000000,8.000000,8.000000,8.000000,8.000000,0
2019-01-04,8.000000,8.000000,8.000000,8.000000,8.000000,0
2019-01-07,7.670000,8.350000,7.670000,8.350000,8.350000,8000
2019-01-08,8.350000,8.350000,8.350000,8.350000,8.350000,0
2019-01-09,8.350000,8.350000,8.350000,8.350000,8.350000,0
2019-01-10,8.350000,8.350000,8.350000,8.350000,8.350000,0
2019-01-11,8.690000,8.720000,8.690000,8.720000,8.720000,16000
2019-01-14,8.330000,9.000000,8.290000,8.540000,8.540000,48000
2019-01-15,8.540000,8.540000,8.540000,8.540000,8.540000,0
2019-01-16,8.160000,8.160000,8.160000,8.160000,8.160000,4000
2019-01-17,8.160000,8.160000,8.160000,8.160000,8.160000,0
2019-01-18,8.550000,8.550000,8.330000,8.330000,8.330000,8000
2019-01-21,8.330000,8.330000,8.330000,8.330000,8.330000,0
2019-01-22,7.950000,7.950000,7.920000,7.920000,7.920000,12000
2019-01-23,7.530000,7.530000,7.530000,7.530000,7.530000,8000
2019-01-24,7.530000,7.530000,7.530000,7.530000,7.530000,0
2019-01-25,7.170000,7.170000,7.160000,7.160000,7.160000,16000
2019-01-28,6.810000,6.810000,6.810000,6.810000,6.810000,4000
2019-01-29,6.810000,6.810000,6.810000,6.810000,6.810000,0
2019-01-30,6.810000,6.810000,6.810000,6.810000,6.810000,0
2019-01-31,6.750000,6.750000,6.750000,6.750000,6.750000,8000
2019-02-01,6.750000,6.750000,6.750000,6.750000,6.750000,0
2019-02-04,6.750000,6.750000,6.750000,6.750000,6.750000,0
2019-02-05,6.750000,6.750000,6.750000,6.750000,6.750000,0
2019-02-06,6.750000,6.750000,6.750000,6.750000,6.750000,0
2019-02-07,6.750000,6.750000,6.750000,6.750000,6.750000,0
2019-02-08,6.750000,6.750000,6.750000,6.750000,6.750000,0
2019-02-11,6.750000,6.750000,6.750000,6.750000,6.750000,0
2019-02-12,7.070000,7.070000,7.060000,7.060000,7.060000,8000
2019-02-14,6.710000,6.710000,6.710000,6.710000,6.710000,0
2019-02-15,6.380000,6.990000,6.380000,6.990000,6.990000,20000
2019-02-18,6.650000,7.330000,6.650000,7.320000,7.320000,144000
2019-02-19,7.680000,7.680000,6.990000,7.580000,7.580000,196000
2019-02-20,7.240000,7.690000,7.210000,7.210000,7.210000,212000
2019-02-21,6.900000,7.550000,6.850000,7.040000,7.040000,212000
2019-02-22,6.770000,6.950000,6.730000,6.740000,6.740000,60000
2019-02-25,6.440000,6.750000,6.420000,6.750000,6.750000,104000
2019-02-26,6.600000,6.980000,6.420000,6.730000,6.730000,112000
2019-02-27,6.600000,6.840000,6.400000,6.640000,6.640000,396000
2019-02-28,6.670000,6.680000,6.320000,6.460000,6.460000,36000
2019-03-01,6.550000,6.550000,6.140000,6.500000,6.500000,40000
2019-03-05,6.500000,6.500000,6.180000,6.250000,6.250000,256000
2019-03-06,6.250000,6.290000,5.940000,6.160000,6.160000,100000
2019-03-07,6.050000,6.380000,5.870000,6.310000,6.310000,288000
2019-03-08,6.260000,6.620000,6.000000,6.250000,6.250000,580000
2019-03-11,6.500000,6.500000,6.100000,6.290000,6.290000,168000
2019-03-12,6.190000,6.290000,6.010000,6.230000,6.230000,36000
2019-03-13,6.180000,6.330000,5.930000,6.160000,6.160000,104000
2019-03-14,6.140000,6.170000,5.860000,5.940000,5.940000,156000
2019-03-15,6.000000,6.070000,5.650000,5.940000,5.940000,364000
2019-03-18,5.990000,6.090000,5.650000,5.890000,5.890000,252000
2019-03-19,5.650000,5.950000,5.600000,5.690000,5.690000,580000
2019-03-20,5.670000,5.890000,5.410000,5.630000,5.630000,856000
2019-03-22,5.560000,5.810000,5.350000,5.440000,5.440000,460000
2019-03-25,5.470000,5.640000,5.300000,5.400000,5.400000,52000
2019-03-26,5.130000,5.670000,5.130000,5.360000,5.360000,600000
2019-03-27,5.100000,5.370000,5.100000,5.100000,5.100000,148000
2019-03-28,4.860000,4.990000,4.850000,4.850000,4.850000,72000
2019-04-01,5.100000,5.120000,4.670000,5.070000,5.070000,148000
2019-04-02,5.230000,5.250000,4.820000,4.820000,4.820000,44000
2019-04-03,4.580000,4.940000,4.580000,4.830000,4.830000,660000
2019-04-04,4.600000,5.000000,4.590000,4.730000,4.730000,152000
2019-04-05,4.500000,4.780000,4.500000,4.630000,4.630000,144000
2019-04-08,4.410000,4.660000,4.400000,4.540000,4.540000,108000
2019-04-09,4.680000,4.730000,4.320000,4.550000,4.550000,172000
2019-04-10,4.550000,4.750000,4.330000,4.330000,4.330000,220000
2019-04-11,4.370000,4.380000,4.120000,4.120000,4.120000,60000
2019-04-12,4.000000,4.220000,3.920000,3.920000,3.920000,76000
2019-04-15,3.730000,4.080000,3.730000,3.990000,3.990000,56000
2019-04-16,3.810000,3.830000,3.800000,3.800000,3.800000,44000
2019-04-18,3.960000,3.990000,3.960000,3.990000,3.990000,48000
2019-04-22,4.170000,4.180000,3.900000,4.090000,4.090000,60000
2019-04-23,4.090000,4.090000,4.090000,4.090000,4.090000,0
2019-04-24,3.950000,4.270000,3.890000,3.890000,3.890000,80000
2019-04-25,3.890000,4.080000,3.890000,4.080000,4.080000,16000
2019-04-26,4.240000,4.250000,4.240000,4.250000,4.250000,12000
2019-04-30,4.380000,4.390000,4.380000,4.380000,4.380000,12000
2019-05-02,4.380000,4.380000,4.380000,4.380000,4.380000,0
2019-05-03,4.530000,4.530000,4.530000,4.530000,4.530000,8000
2019-05-06,4.330000,4.330000,4.330000,4.330000,4.330000,4000
2019-05-07,4.140000,4.140000,4.120000,4.120000,4.120000,12000
2019-05-08,4.290000,4.290000,4.290000,4.290000,4.290000,4000
2019-05-09,4.080000,4.080000,4.080000,4.080000,4.080000,4000
2019-05-10,4.200000,4.200000,4.200000,4.200000,4.200000,8000
2019-05-13,3.990000,3.990000,3.990000,3.990000,3.990000,4000
2019-05-14,3.800000,3.800000,3.800000,3.800000,3.800000,8000
2019-05-15,3.610000,3.610000,3.610000,3.610000,3.610000,24000
2019-05-16,3.760000,3.790000,3.430000,3.540000,3.540000,44000
2019-05-17,3.370000,3.700000,3.370000,3.700000,3.700000,8000
2019-05-20,3.550000,3.550000,3.520000,3.530000,3.530000,28000
2019-05-21,3.360000,3.360000,3.360000,3.360000,3.360000,8000
2019-05-22,3.300000,3.300000,3.200000,3.200000,3.200000,16000
2019-05-23,3.040000,3.040000,3.040000,3.040000,3.040000,16000
2019-05-24,2.900000,2.900000,2.890000,2.890000,2.890000,28000
2019-05-27,2.800000,2.800000,2.750000,2.750000,2.750000,28000
2019-05-28,2.620000,2.880000,2.620000,2.880000,2.880000,36000
2019-05-29,3.010000,3.020000,3.010000,3.020000,3.020000,12000
2019-05-30,3.170000,3.170000,3.170000,3.170000,3.170000,4000
